jumlah_kompetitor_500m,jumlah_pendidikan_500m,jumlah_wisata_500m,jumlah_perkantoran_500m,jumlah_hotel_500m,jumlah_rth_500m,jumlah_halte_500m,jumlah_mall_500m,jumlah_rs_500m,jumlah_bank_500m,jarak_ke_jalan,label
2,11,0,11,2,0,4,0,2,8,31.051537735879304,1
0,7,0,8,4,0,3,0,2,1,28.194876228979332,1
6,2,0,12,2,0,4,1,1,5,9.847140850160558,1
7,10,1,3,6,0,0,2,1,13,16.69253225691077,1
0,4,0,0,1,0,6,0,0,2,51.1765525882932,1
1,6,0,7,8,0,4,4,1,6,36.408524310325426,1
6,3,7,1,3,7,6,0,1,3,3.3760733761002837,1
2,18,2,21,2,4,4,1,2,11,48.28398025077196,1
2,1,1,11,2,1,6,4,1,10,22.343353594937913,1
6,6,8,7,8,8,7,2,5,1,1.4070187355829198,1
0,5,33,2,4,9,16,0,9,19,48.01856548064145,1
2,7,1,5,1,1,4,0,0,0,37.343175361992785,1
13,13,3,11,12,3,4,5,1,5,113.76521011646479,1
7,5,5,14,12,5,8,3,1,7,39.43513379097585,1
0,6,1,1,2,1,2,0,0,0,46.81667053605856,1
0,5,0,3,2,0,12,0,0,0,3.0439600964820985,1
0,6,1,3,0,1,4,0,1,0,70.73600275042863,1
1,8,1,17,6,1,8,2,1,9,5.985775603782364,1
2,3,1,2,5,1,8,0,3,1,43.33061778765585,1
1,7,0,2,0,0,12,1,4,2,0.15708806737612283,1
16,0,2,14,22,1,20,6,4,12,99.04204982615724,1
2,7,1,6,0,1,18,2,3,0,38.50496424402271,1
4,13,7,18,1,8,3,2,2,7,4.951016113281778,1
1,15,0,6,0,0,0,1,4,0,15.379776637029659,1
7,6,4,25,29,5,14,1,0,19,31.993317043341182,1
1,5,3,2,0,3,4,0,1,0,13.895309155731379,1
2,3,3,5,0,3,6,1,2,0,7.37424572516466,1
0,1,2,0,0,3,0,0,0,2,38.178496560281246,1
6,4,4,10,18,4,19,1,2,7,13.003759626057516,1
3,5,0,10,1,1,12,1,0,6,36.80801253886135,1
0,4,0,0,0,0,6,0,1,0,20.52870642238932,1
6,3,6,15,21,6,19,0,4,7,9.197123302281307,1
2,0,0,2,1,0,3,1,0,2,26.034881726533246,1
2,20,3,8,0,1,2,1,3,2,65.04589240154512,1
8,8,2,25,22,2,6,1,2,17,12.732839198723212,1
9,8,4,27,9,5,12,5,1,9,44.91615239545302,1
2,5,3,6,2,3,5,2,2,0,20.932906255775404,1
1,1,0,5,2,0,5,1,1,3,8.785312649337293,1
4,3,5,4,0,5,4,1,1,0,58.50880110199449,1
0,5,1,3,0,5,4,0,0,1,6.1823820780249354,1
0,3,2,4,1,2,6,0,1,0,26.943436489764593,1
0,4,0,7,2,1,3,1,0,1,44.45675083296132,1
2,24,1,4,0,1,8,0,5,3,47.31180582811001,1
9,7,11,23,22,12,14,4,1,15,38.52699780624055,1
8,1,3,10,4,3,3,2,0,29,11.33829667638785,1
1,2,1,1,0,1,6,1,0,1,24.51118990849134,1
1,3,1,4,0,1,6,0,0,0,11.75091215464092,1
12,8,10,21,23,13,9,6,2,18,59.03209916173121,1
0,3,0,11,2,1,4,0,3,6,72.57883769082005,1
0,5,1,3,0,1,0,0,1,5,53.21246836266867,1
1,12,0,9,0,0,0,1,3,0,4.623500924567885,1
0,4,1,14,0,2,10,1,2,2,18.802038447542795,1
0,4,3,4,0,4,11,0,0,1,3.019235028885265,1
2,2,0,8,0,2,6,1,1,9,35.69977682083501,1
9,20,0,11,7,0,0,1,3,7,26.56673196595653,1
1,3,1,0,0,4,8,1,0,1,11.755218141897567,1
1,2,0,1,0,0,10,0,1,0,5.691411525463284,1
1,3,0,7,2,0,9,2,2,1,2.6171925575587682,1
2,19,2,8,0,2,8,4,1,2,15.651714201617473,1
5,8,3,6,7,4,3,0,5,9,20.150526061040768,1
13,10,4,19,21,5,5,7,5,15,27.16640049803599,1
0,2,0,1,0,0,1,0,0,0,2.284643399017147,1
3,12,0,11,6,6,8,2,2,10,24.19259681389796,1
1,4,0,1,2,0,5,0,1,0,5.830118287615023,1
1,7,1,1,2,1,7,0,1,1,13.034463958800176,1
0,9,16,9,6,16,5,0,0,4,15.904888725884762,1
1,5,0,1,0,0,6,0,0,1,2.539381429619607,1
1,4,0,8,3,0,6,0,4,4,31.342021603142904,1
2,22,0,8,3,0,1,0,4,2,17.23661774738127,1
1,11,6,9,1,5,2,3,2,2,18.78628399859072,1
3,0,0,3,0,0,2,0,1,1,10.101060640552712,1
9,0,4,20,17,5,22,3,4,13,14.665690581479227,1
6,11,7,25,4,11,5,1,2,28,0.4118657304520579,1
0,5,0,3,0,0,0,0,1,0,42.90132313997871,1
0,7,0,9,1,0,0,0,1,1,49.63798745040623,1
1,6,1,8,0,0,4,1,6,2,38.323436400218675,1
1,12,0,3,1,0,3,0,1,6,2.5129138207112507,1
2,19,0,3,3,0,11,2,4,1,18.171417864029948,1
15,8,4,19,15,5,12,6,0,10,110.57160359045547,1
0,5,0,5,2,0,2,2,1,0,19.496359236026272,1
4,10,0,5,2,0,7,0,3,5,15.437077528125371,1
1,12,0,2,8,9,0,1,1,9,16.128422966559498,1
2,8,7,3,6,14,8,0,1,0,10.981440717348892,1
1,7,0,5,1,0,6,0,1,0,42.720647598000696,1
0,4,0,1,1,0,6,0,3,0,16.94173930124047,0
0,7,0,2,0,0,0,0,0,0,85.7471583369682,0
0,1,0,0,0,0,0,0,0,0,421.26407717528633,0
0,0,0,0,0,0,0,0,0,0,2033.0819045941244,0
0,2,0,1,0,0,2,0,0,0,153.53053736264272,0
1,5,0,0,0,0,11,0,0,0,23.557432608627973,0
0,1,0,1,0,0,0,0,0,0,54.76127870676217,0
0,0,0,0,0,1,0,0,0,0,674.6579839557111,0
0,3,0,1,0,0,0,0,0,0,216.3124828353634,0
0,0,0,0,0,0,0,0,0,0,1230.1361470217496,0
0,3,0,2,0,0,0,0,1,0,3.4453983278630718,0
0,3,0,2,0,0,6,0,0,0,0.6500945354596257,0
1,1,2,3,1,2,1,1,0,0,34.89395566016354,0
0,3,0,2,0,0,0,0,1,0,77.46605258156056,0
0,0,0,0,0,0,0,0,0,0,1369.256618853736,0
0,8,3,3,0,3,2,0,1,0,6.232850414267748,0
0,2,0,1,0,0,0,0,0,0,191.17187064663986,0
0,0,0,0,0,0,0,0,1,0,128.41014721793886,0
0,0,0,0,0,0,0,0,0,0,305.6698713325456,0
0,6,2,1,0,3,4,0,1,0,66.60170261157212,0
0,0,0,1,0,0,0,0,0,0,343.443921299005,0
1,5,2,4,0,2,5,2,2,0,24.699082484381787,0
0,2,0,2,0,0,1,0,1,2,0.26404042531688054,0
4,15,0,14,1,0,1,1,1,0,24.144573595471865,0
0,0,0,0,0,0,0,0,0,0,4.529689933929543,0
0,7,0,2,0,0,0,0,0,0,11.90794040417562,0
0,2,0,0,0,0,0,0,0,0,37.56083043608515,0
0,0,0,0,0,0,0,0,0,0,93.10408262371512,0
0,0,0,0,0,0,0,0,0,0,854.1530645569279,0
0,3,0,1,0,28,0,0,0,0,181.63894242164417,0
0,8,0,6,2,0,5,0,5,0,17.483672363132737,0
0,1,1,0,0,1,0,0,0,0,92.03621292533677,0
0,0,0,0,0,0,0,0,0,0,647.2234187785663,0
1,2,0,2,0,0,1,0,1,0,24.522808762705846,0
0,1,0,2,0,0,0,1,1,0,38.943592833549026,0
0,8,0,5,0,1,2,0,0,1,2.1943445409154427,0
0,2,0,0,0,0,2,0,0,0,227.8679524600365,0
1,4,1,6,0,1,0,0,1,5,7.967688345074856,0
1,2,6,3,0,6,5,1,1,0,13.991919207538267,0
3,1,0,3,1,0,15,0,0,2,181.25713714992148,0
0,7,0,2,0,0,0,0,0,0,2.402283654885294,0
0,4,0,2,0,0,4,0,1,1,4.104095410442126,0
0,0,0,0,0,0,0,0,0,0,650.2318808465868,0
3,12,6,6,2,4,0,3,3,7,46.16631643272527,0
0,2,0,4,0,0,2,0,1,0,9.566661348472842,0
3,6,1,5,5,1,4,0,0,1,6.356983476431573,0
0,5,0,8,0,1,1,1,2,0,8.835973000465657,0
1,8,0,1,0,0,8,1,3,2,14.526283889617094,0
0,3,1,2,0,1,0,0,1,0,35.0894846845474,0
0,0,0,0,0,0,0,0,0,0,463.5051707519086,0
0,0,0,0,0,0,0,0,0,0,216.19219635883564,0
1,6,0,5,0,0,1,2,0,0,44.62525312749389,0
0,8,0,2,0,0,2,1,3,0,12.082023803773284,0
0,1,1,0,0,1,0,0,0,1,10.452282626560656,0
0,0,0,0,0,0,0,0,0,0,214.3311502209474,0
0,0,0,0,0,0,0,0,0,0,2526.294002054397,0
0,0,0,0,0,0,0,0,0,0,499.7617282465579,0
1,2,0,1,0,0,5,0,1,0,14.067903503331891,0
0,12,0,3,0,0,0,1,0,1,0.3033651425203566,0
0,5,2,2,0,2,13,2,1,0,4.941099890084912,0
0,5,1,2,0,1,0,1,0,0,6.856552103486255,0
0,0,0,0,0,0,0,0,0,0,122.80776308862967,0
0,9,0,6,0,0,0,0,1,0,8.407204834547358,0
0,3,0,5,0,0,6,0,2,0,13.59051086522485,0
0,0,0,0,0,0,0,0,0,0,21.398373536589762,0
0,0,0,1,0,2,0,0,1,0,38.18195249858526,0
0,0,0,0,0,0,0,0,0,0,169.74258438007865,0
1,0,1,2,2,2,0,0,0,0,0.9725685629816705,0
0,0,0,0,0,0,0,0,0,0,839.6003978233595,0
0,13,0,6,1,0,0,0,2,2,12.872253089139816,0
0,3,4,3,1,4,0,0,1,0,92.4388074783779,0
0,1,0,1,0,0,0,0,0,0,79.93663703339526,0
0,11,0,2,0,0,0,0,4,0,6.601998051624971,0
0,0,0,0,0,0,0,0,0,0,243.10625738101342,0
0,0,0,4,0,0,0,0,0,0,551.6783927502381,0
0,2,0,2,0,1,0,0,2,0,17.197641701893904,0
0,9,0,2,0,0,9,0,0,2,55.330643344772945,0
0,0,0,0,0,0,0,0,0,0,440.9435448652465,0
0,1,2,3,0,2,4,1,2,0,66.28574337259307,0
2,7,0,2,0,0,10,0,0,3,1.4476671147130795,0
0,0,0,0,0,0,0,0,0,0,233.87122985614627,0
3,0,0,0,0,0,0,0,1,1,222.77554788843236,0
0,5,0,4,0,1,0,1,2,0,28.601396492957406,0
0,11,0,8,0,0,4,0,3,3,18.068663469034682,0
1,5,0,6,0,0,2,1,1,1,165.05493512731806,0
0,9,0,2,0,1,0,1,1,0,53.99970950043361,0
0,0,0,0,0,0,0,0,0,0,227.8498641393477,0
0,0,0,3,0,0,2,0,0,1,11.061811941176188,0
0,1,0,0,0,0,0,0,0,0,140.07452140682065,0
0,2,0,4,0,0,0,0,0,0,20.842283178937567,0
0,3,0,1,0,0,6,0,2,0,8.090996778508726,0
0,1,0,0,0,0,0,0,0,0,1112.5011527157958,0
1,0,1,2,1,1,0,1,1,0,11.484852271415138,0
0,13,0,8,0,0,1,0,3,0,25.96399194688448,0
0,8,2,8,0,2,10,1,2,0,24.72263042629946,0
1,1,0,2,1,4,4,0,0,1,78.29693463531616,0
0,1,0,0,0,0,0,0,0,0,11.405478195452119,0
0,0,1,0,0,1,0,0,0,0,16.13114692445474,0
1,2,0,0,0,0,5,0,1,0,25.741865363360994,0
0,0,0,0,0,0,0,0,0,0,240.4758128886165,0
0,9,0,6,0,0,4,0,1,0,27.393282962160356,0
0,0,0,0,0,0,0,0,0,0,235.15858364985746,0
0,0,0,0,0,0,0,0,0,0,644.4796073710579,0
0,7,0,1,0,0,0,0,2,0,6.670664942231512,0
0,5,3,4,3,3,0,0,1,0,1.0847134872005957,0
1,3,2,3,0,4,4,2,0,0,15.666025863323231,0
0,2,0,0,0,0,1,0,0,0,80.3257197457496,0
0,0,0,0,0,0,0,0,0,0,216.52669842743538,0
0,21,0,5,0,0,2,1,5,0,11.187466109196599,0
0,0,0,1,0,0,0,0,0,0,274.3184035522359,0
0,2,0,2,0,0,0,1,0,0,8.306188648253867,0
0,11,0,2,0,0,0,0,1,0,10.500322174983639,0
0,4,0,5,0,0,0,1,2,2,11.359300182528381,0
3,14,2,4,9,2,4,4,1,7,31.332115802400327,0
0,0,0,0,0,0,0,0,0,0,382.00226522721783,0
0,0,0,0,0,0,0,0,0,0,824.32974663947,0
0,6,1,1,0,1,6,0,3,0,41.99672652297236,0
0,0,0,0,0,0,0,0,0,0,522.463288762675,0
0,1,0,0,0,0,0,0,0,0,212.6956846471691,0
2,15,3,4,2,3,3,0,4,3,15.287079661571775,0
1,7,0,4,2,0,6,0,1,5,25.182215999624464,0
0,0,0,0,0,0,0,0,0,0,351.2910297253946,0
1,9,0,8,1,0,3,0,1,3,12.053409292312962,0
0,0,0,0,0,0,0,0,0,0,1834.7453093176155,0
0,0,0,0,0,1,0,0,0,0,382.30028901873027,0
0,0,0,0,0,0,0,0,0,0,1755.9785170688572,0
0,3,1,0,0,1,0,0,0,0,6.150201069786036,0
0,0,0,0,0,0,0,0,0,0,53.27663629692932,0
1,1,0,0,0,1,0,0,0,0,95.44177014437611,0
0,0,0,0,0,0,0,0,0,0,227.721114654032,0
0,1,0,2,1,4,1,0,0,1,39.97900211322512,0
0,0,0,0,0,0,0,0,0,0,2017.3203584259068,0
3,19,0,1,0,1,0,1,2,0,17.993804618840585,0
2,2,0,9,2,2,8,3,1,9,53.166223630706334,0
0,4,0,3,0,0,8,0,0,0,3.3543646676770154,0
0,3,7,6,1,7,2,0,0,3,30.780373603590522,0
0,5,0,0,0,0,0,0,1,0,77.41443298006838,0
0,9,0,5,2,0,10,1,2,0,12.960642415059944,0
0,3,0,2,0,0,0,0,1,0,22.52799621996947,0
0,1,0,2,0,2,0,0,0,0,35.97805810791471,0
1,20,0,9,0,0,2,1,3,0,2.9706595320936513,0
0,10,0,3,0,1,1,1,1,0,25.912619350644555,0
0,4,0,3,0,0,0,0,1,0,9.949878158895004,0
0,9,0,5,0,20,7,1,1,0,10.01865960374034,0
0,0,0,1,0,0,2,0,0,0,153.32909527710856,0
8,13,1,6,1,1,5,1,0,3,0.31943682670578966,0
0,0,0,0,0,0,0,0,0,0,14.226598116631381,0
0,1,0,2,0,0,0,0,0,0,3.361985198211029,0
0,0,0,0,0,0,0,0,0,0,84.77180398022439,0
0,1,1,0,0,0,2,0,0,0,54.901280622906604,0
0,3,0,1,0,0,0,0,1,0,193.20186449081675,0
0,4,5,4,0,7,7,0,1,1,203.70911540775487,0
6,14,17,9,3,26,12,1,3,5,59.606868057498474,0
0,0,0,0,0,0,0,0,0,0,2366.217720791672,0
0,3,0,2,0,0,12,0,0,0,9.688115401989878,0
0,1,1,0,0,1,2,0,0,0,11.475849884992837,0
0,0,0,0,0,0,0,0,0,0,388.19879668004,0
0,5,5,3,0,7,10,0,0,1,30.3139755889397,0
0,6,4,2,0,4,0,0,2,0,5.220938350836941,0
1,2,1,1,1,1,0,0,0,0,11.005169691282333,0
0,0,0,0,0,0,0,0,0,0,317.6473118730337,0
0,2,0,1,0,1,0,0,2,0,23.91480771465098,0
1,6,0,4,0,0,2,1,1,0,19.37489865511948,0
0,0,0,0,0,0,0,0,0,0,1550.2583031586507,0
0,0,0,0,0,0,0,0,0,0,668.0836343472516,0
3,6,1,8,2,5,10,1,6,2,47.88005433738461,0
0,2,1,0,1,1,5,0,0,0,14.139438158147899,0
0,7,0,3,0,0,0,0,0,0,34.41438543966745,0
0,0,0,0,0,0,0,0,0,0,786.6150062171126,0
0,5,1,1,0,1,2,0,1,1,13.050097180433989,0
1,9,1,6,0,1,6,0,1,2,15.798792194237118,0
0,6,3,6,0,3,12,1,0,1,86.4213089762196,0
6,4,3,10,13,4,15,0,4,4,15.727578599884238,0
2,5,0,2,0,0,16,0,0,7,91.11408460514279,0
0,1,1,0,0,1,0,1,0,0,11.06441142010404,0
1,11,0,3,0,0,2,2,4,0,2.9397446366280158,0
0,0,0,0,0,0,4,0,0,0,36.59488658976679,0
0,6,0,4,0,0,6,0,0,0,14.240076217276693,0
0,13,2,6,0,2,0,1,1,0,0.24310151696293636,0
7,10,7,2,6,16,14,1,4,2,60.20080507400738,0
0,8,0,1,0,0,0,0,0,0,11.475093177996994,0
2,0,0,5,4,0,5,0,5,0,21.234509351733404,0
0,0,0,0,0,0,0,0,0,0,44.26495163374692,0
0,0,0,0,0,0,0,0,0,0,2417.55353001835,0
3,6,1,13,0,2,7,1,3,4,12.886957223117923,0
0,6,4,1,2,4,0,0,0,0,34.17886109280031,0
0,0,0,0,0,0,0,0,0,0,403.5161906851624,0
0,0,0,0,0,0,0,0,0,0,621.1437262887955,0
0,0,0,0,0,0,0,0,0,0,872.4214121477407,0
0,0,0,0,0,0,0,0,0,0,718.5093203642639,0
0,0,0,0,0,0,0,0,0,0,12.352383043060469,0
4,14,4,8,0,2,13,3,1,6,76.09211872360929,0
0,17,6,2,1,15,0,1,0,7,7.614235534041061,0
0,13,3,0,1,3,9,0,2,0,29.490876828666376,0
0,3,0,1,0,0,2,0,1,0,8.766641126547999,0
1,12,0,2,3,20,2,0,2,0,71.74464441197989,0
0,0,3,0,0,3,0,0,0,0,10.736294945011634,0
1,4,1,6,0,1,6,0,1,0,23.50133370514387,0
0,6,0,3,0,0,0,0,1,0,25.635460438639523,0
0,0,0,0,0,0,0,0,0,0,76.61241898213373,0
1,9,0,3,0,1,6,0,2,0,16.267581384791104,0
0,4,1,4,0,2,6,0,2,2,125.9444155240443,0
0,9,0,6,0,0,4,0,2,0,15.885939410567708,0
2,9,0,6,0,0,0,2,3,5,10.453070256824468,0
0,2,0,0,0,0,0,1,0,0,4.192328428307757,0
0,2,0,0,0,0,0,0,2,0,33.63298246619336,0
0,1,0,1,0,0,0,0,0,0,65.73085870157465,0
0,12,1,2,0,1,0,0,2,2,11.064230027408769,0
0,8,0,4,0,0,0,0,0,0,0.8586486437747629,0
0,17,0,8,0,0,5,0,3,3,4.536442402228171,0
1,14,7,4,1,7,2,3,1,5,17.482336564340354,0
0,0,0,0,0,0,0,0,0,0,415.77764433518263,0
1,11,0,6,1,0,2,0,3,6,32.35612480022383,0
0,1,2,6,3,2,2,0,1,0,68.67299751546143,0
0,0,0,0,0,0,0,0,0,0,297.89489037085116,0
0,0,0,0,0,0,0,0,0,0,8.07830959269922,0
0,10,0,2,0,0,0,0,1,0,46.88256302247182,0
0,1,0,0,0,0,0,0,0,0,31.736367112705214,0
